RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,Avg
61193,08824,South Brunswick,NJ,New York,Middlesex,6940,408700,407900,406800,406200,405500,403500,402100,402700,403100,403000,403500,408900,412300,411300,410800,411300,408900,409600,413000,416800,421700,425100,427600,432100,436600,437500,438000,438600,439900,443300,451700,459000,461600,458100,452300,447900,448400,450100,449600,454600,466600,476100,478700,479700,479300,477300,476300,477800,480300,482800,483400,482500,480800,479600,473600,463800,458500,462500,470700,474500,442240
60774,07726,Manalapan,NJ,New York,Monmouth,1298,403400,401500,401700,403800,407400,409800,409000,407600,407700,407700,408700,411900,415300,417700,419900,421200,421700,422100,424100,426500,428300,429800,431800,433600,436000,438800,439700,440500,443400,446000,447400,450000,453200,455100,454800,454000,454100,455300,456300,456300,455100,454500,454900,455600,456200,458000,460800,462300,461800,461000,461600,462700,463700,464500,465600,466500,466300,464500,462800,464100,439593
60836,07849,Jefferson Township,NJ,New York,Morris,7404,425200,424300,420300,416200,413600,414300,416600,419400,421300,422100,421300,419600,418200,418200,420300,423200,425300,427100,428200,429300,432000,434200,434900,435800,435800,433700,434000,439300,445300,447100,445500,443500,442500,441500,439600,437900,441400,446400,446800,441800,440700,445900,452200,451700,447400,447200,451400,452200,449000,450600,456100,458900,458700,457500,454200,452600,453200,453500,454000,456300,437772
60729,07631,Englewood,NJ,New York,Bergen,3594,407700,404400,401800,401200,408800,419900,424000,418800,409900,403000,398800,395600,393900,394000,392000,393400,402500,409400,410600,414600,422100,423200,418100,428100,439800,444700,451500,454900,437400,426900,426700,427700,428000,434200,442600,449700,455200,459600,456900,448000,442700,445300,451800,455300,455300,454600,454500,453400,452700,453600,454800,457200,459300,461000,463500,467900,471200,474800,481200,483200,434548
60776,07728,Freehold Township,NJ,New York,Monmouth,477,396300,393900,394100,395700,395800,394700,393500,393400,394500,395500,396800,398500,400600,403200,406300,408600,410900,413700,416900,420000,421800,422700,424100,426600,428900,429500,429300,429100,429500,430500,430500,428500,428000,429400,429500,428600,430600,434300,435100,434700,434500,435300,437000,438700,440000,442100,444300,445700,444900,443400,444300,447400,449800,451400,452900,454900,456400,456200,456400,459800,425658
60773,07724,Tinton Falls,NJ,New York,Monmouth,4062,379800,378400,377100,376600,378000,379900,380700,381400,382300,382900,384600,386400,387300,389500,392200,394500,398400,402800,407100,411800,415600,419300,422400,424700,426000,426500,426600,427500,429100,430500,431200,431300,431900,432900,433200,432700,433100,434600,436700,436700,434300,433200,435200,437600,439000,439800,439900,439500,438200,436100,436200,440000,444000,446000,447400,448700,448800,447700,447700,453300,419447
61231,08876,Branchburg,NJ,New York,Somerset,4427,407600,400900,397500,397000,398400,399400,397000,392100,387300,383900,381300,381700,385000,386200,385700,387400,390700,395400,401300,406500,410400,414200,416300,416800,416600,416400,417300,419000,420200,419300,417800,417100,418100,418600,420100,422300,421900,418400,416200,416300,417800,420200,421400,421400,421900,422100,421000,421000,422800,426400,431100,434100,434300,432900,432300,432600,433800,435900,438600,440000,412953
61207,08840,Metuchen,NJ,New York,Middlesex,5723,367600,367300,369200,372900,374900,375000,375200,375900,376300,378000,378800,380300,381100,380700,381100,382400,383200,389100,395200,396900,397900,399500,403200,412300,420100,422600,421400,420200,423100,427500,427300,424000,423600,419900,415800,414800,416600,418800,420200,422400,427700,431800,430100,431500,433900,435200,434900,435800,440700,444700,443700,442100,439500,435700,437900,442200,443700,447500,452800,452800,411942
60763,07712,Asbury Park,NJ,New York,Monmouth,952,373500,371700,372500,373800,375900,377400,378500,380000,381800,383000,385000,386300,385800,387500,390200,390600,391600,394900,397000,400300,404800,408700,411500,414300,416100,416200,415400,413500,413200,412700,411600,409500,409400,410400,411600,411300,411100,412400,412300,412000,412600,414700,416800,419000,420000,420100,419500,419100,418500,418300,420600,423900,426300,429600,433700,434700,433300,431900,433300,436800,406633
60824,07836,Mt Olive Township,NJ,New York,Morris,6782,368300,370600,373100,376500,380400,383600,386400,387400,386900,386700,386000,382000,377500,377900,382800,386700,389400,391600,391300,390800,394100,398000,401000,403700,405000,404900,406600,410200,414300,417500,420500,422700,424000,425300,426800,426000,424100,422100,418500,414400,413700,414900,415700,416500,417500,418500,420900,422100,421400,421100,421700,422200,423500,424600,425000,425500,425700,423500,420700,417800,405802
60705,07512,Totowa,NJ,New York,Passaic,7396,396000,392500,395300,394000,390700,386300,386800,390400,392700,391500,390300,388400,386500,386100,384600,387000,392000,393400,391800,393400,395800,398300,400300,400000,396600,396300,396900,398000,401200,406900,408300,407400,407100,407400,407500,410300,413300,414000,414600,416200,417300,420000,423000,423100,422400,423000,422400,419100,416000,415000,416600,418200,419500,421100,418700,411700,406600,405700,405800,407100,403973
60930,08036,Hainesport,NJ,Philadelphia,Burlington,8200,386800,387900,389900,390900,390000,388900,388800,389100,388100,386300,385600,385200,384300,384500,386500,388300,390200,393900,400400,404500,405500,405700,408400,410200,410600,411100,412000,410600,408100,405900,404800,405900,408100,408200,405300,402000,402100,404500,405200,405200,407000,409900,412200,414400,415500,414900,413600,412800,411800,411900,413600,415400,416500,417200,416500,415600,416300,420200,424200,424800,403897
61141,08648,Lawrence,NJ,Trenton,Mercer,2733,379500,381600,382500,382900,383400,383500,384900,387300,390700,392900,393100,393300,395800,398200,399000,400000,401200,400300,398800,399800,401700,403800,406600,408400,407300,405500,404800,403900,403500,405600,407500,407100,406300,406100,407200,409300,409500,408100,408700,412000,413900,414500,414400,414000,412900,412000,410900,410000,408700,409200,410400,409500,407500,408500,411700,414900,417300,419000,420300,421000,403703
60671,07438,Jefferson Township,NJ,New York,Morris,6974,392700,392100,391500,390900,390700,392100,394000,396000,397100,397800,397700,397000,395100,394300,394900,393900,392400,392900,393100,393600,395500,396800,397000,397100,396600,394200,391200,392900,398200,400600,400100,399900,401300,404500,408700,410100,410300,410900,412300,410000,408100,409800,411200,408500,407700,409600,411300,412100,413900,417600,422000,424300,422000,416200,411300,410200,408600,405400,403200,403800,402413
61186,08816,East Brunswick,NJ,New York,Middlesex,1100,376900,376800,377600,377500,377600,377400,377000,377200,377400,376600,376200,377600,378600,378200,378500,380900,383200,385200,387200,390500,395300,399200,400700,402300,404400,405900,405500,405100,406800,410700,412400,412200,413000,413000,410400,409800,411100,411100,410700,412200,414800,416400,417000,417900,418300,418000,418900,419400,419000,419000,418900,418000,417000,417100,418200,418600,418700,421900,427800,431900,402112
61246,08902,North Brunswick,NJ,New York,Middlesex,1563,395300,392900,389700,387000,384900,382100,380500,379900,378700,378900,381600,384500,384500,382700,382500,384100,385400,386600,388200,390400,394400,397300,397400,397700,399200,401200,401700,401500,402400,405100,406700,407300,407000,403900,397800,393900,394500,396700,398500,402100,407200,412100,414100,414800,414900,416100,417300,419000,420100,420100,419100,417200,416000,416400,418500,419900,421300,425200,431700,435500,401387
60939,08048,Lumberton,NJ,Philadelphia,Burlington,6627,374800,374200,373700,373300,372400,371400,371800,373900,376100,378400,380400,379900,380000,381400,383100,384500,387300,390400,395300,398900,400300,400600,401300,401000,400800,401900,403900,403600,400800,399100,399200,399400,399500,399100,396800,393800,392000,391600,392100,392900,394000,394900,394200,392300,391400,392300,394100,395100,396000,398000,399500,399300,399500,399000,398400,399400,401800,403500,405600,404600,392063
60614,07110,Nutley,NJ,New York,Essex,3027,366000,368900,366500,360400,359000,362700,365200,365200,366100,367000,370000,374100,376300,376800,376100,375200,375100,376800,379500,383000,383700,381300,377300,375900,377500,381900,386200,391000,394100,395800,396100,397200,398700,398200,398200,402700,408800,409100,406500,406400,408300,408700,407000,406300,405800,404000,400800,399000,399300,400300,402500,404700,404200,403900,410100,420100,430300,436600,442600,443800,391913
